name,symbol,description,parcellation_term_set_label,parcellation_terminology_label,parcellation_term_identifier,parcellation_term_order,parcellation_parent_term_set_label,parcellation_parent_term_identifier
SG in superolateral temporal cortex,tSGsl,SG in superolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11600,22,ADHBA_Terminology_2016_All,DHBA:15498
SG in polysensory temporal cortex,tSGps,SG in polysensory temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13202,23,ADHBA_Terminology_2016_All,DHBA:15498
SG in parainsular temporal cortex,tSGpi,SG in parainsular temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13206,24,ADHBA_Terminology_2016_All,DHBA:15498
SG in ventrolateral temporal cortex,tSGvl,SG in ventrolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:15499,25,ADHBA_Terminology_2016_All,DHBA:11598
SG in midlateral temporal cortex,tSGml,SG in midlateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13203,26,ADHBA_Terminology_2016_All,DHBA:15499
SG in inferolateral temporal cortex,tSGil,SG in inferolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11601,27,ADHBA_Terminology_2016_All,DHBA:15499
SG in midinferior temporal cortex,tSGmi,SG in midinferior temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11602,28,ADHBA_Terminology_2016_All,DHBA:15499
SG in rostral midinferior temporal cortex (area 36),tSG36,SG in rostral midinferior temporal cortex (area 36),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13204,29,ADHBA_Terminology_2016_All,DHBA:11602
SG in caudal midinferior temporal cortex (area TF),tSGtf,SG in caudal midinferior temporal cortex (area TF),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13205,30,ADHBA_Terminology_2016_All,DHBA:11602
SG in posterior parahippocampal cortex,tSGph,SG in posterior parahippocampal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11603,31,ADHBA_Terminology_2016_All,DHBA:11598
SG in medial temporal-occipital cortex,tSGmt,SG in medial temporal-occipital cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11604,32,ADHBA_Terminology_2016_All,DHBA:11598
SG in lateral temporal-occipital cortex,tSGlt,SG in lateral temporal-occipital cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11605,33,ADHBA_Terminology_2016_All,DHBA:11598
SG in temporal polar cortex,tSGtp,SG in temporal polar cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11606,34,ADHBA_Terminology_2016_All,DHBA:11598
SG in occipital neocortex,oSG,SG in occipital neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11588,35,ADHBA_Terminology_2016_All,DHBA:11580
SG in area prostriata,oSGpro,SG in area prostriata,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13201,36,ADHBA_Terminology_2016_All,DHBA:11588
SG in primary visual cortex,oSGv1,SG in primary visual cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11589,37,ADHBA_Terminology_2016_All,DHBA:11588
SG in extrastriate cortex,oSGexs,SG in extrastriate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13200,38,ADHBA_Terminology_2016_All,DHBA:11588
SG in dorsomedial extrastriate cortex (V2),oSGdm,SG in dorsomedial extrastriate cortex (V2),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11590,39,ADHBA_Terminology_2016_All,DHBA:13200
SG in ventromedial extrastriate cortex (VP),oSGvm,SG in ventromedial extrastriate cortex (VP),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11591,40,ADHBA_Terminology_2016_All,DHBA:13200
SG in midlateral extrastriate cortex (area 19),oSGml,SG in midlateral extrastriate cortex (area 19),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11592,41,ADHBA_Terminology_2016_All,DHBA:13200
SG in insular neocortex,iSG,SG in insular neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12971,42,ADHBA_Terminology_2016_All,DHBA:11580
SG in dysgranular insular cortex,iSGdg,SG in dysgranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12972,43,ADHBA_Terminology_2016_All,DHBA:12971
SG in granular insular cortex,iSGg,SG in granular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12973,44,ADHBA_Terminology_2016_All,DHBA:12971
SG in cingulate neocortex,cSG,SG in cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12966,45,ADHBA_Terminology_2016_All,DHBA:11580
SG in rostral cingulate cortex,cSGr,SG in rostral cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12967,46,ADHBA_Terminology_2016_All,DHBA:12966
SG in midcingulate cortex,cSGmi,SG in midcingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12968,47,ADHBA_Terminology_2016_All,DHBA:12966
SG in caudal cingulate cortex,cSGc,SG in caudal cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12969,48,ADHBA_Terminology_2016_All,DHBA:12966
SG in subgenual (subcallosal) cingulate cortex,cSGsg,SG in subgenual (subcallosal) cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12970,49,ADHBA_Terminology_2016_All,DHBA:12966
SG in periallocortex,peSG,SG in periallocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12974,50,ADHBA_Terminology_2016_All,DHBA:11580
SG in perirhinal cortex,SGPC,SG in perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13213,51,ADHBA_Terminology_2016_All,DHBA:12974
SG in rostral perirhinal cortex,SGpcr,SG in rostral perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12979,52,ADHBA_Terminology_2016_All,DHBA:13213
SG in caudal perirhinal cortex,SGpcc,SG in caudal perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13214,53,ADHBA_Terminology_2016_All,DHBA:13213
SG in parasubicular cortex,SGpas,SG in parasubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13273,54,ADHBA_Terminology_2016_All,DHBA:12974
SG in entorhinal cortex,SGec,SG in entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12975,55,ADHBA_Terminology_2016_All,DHBA:12974
SG in lateral (anterior) entorhinal cortex,SGecl,SG in lateral (anterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13212,56,ADHBA_Terminology_2016_All,DHBA:12975
SG in olfactory entorhinal cortex,SGEo,SG in olfactory entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12976,57,ADHBA_Terminology_2016_All,DHBA:13212
SG in rostral entorhinal cortex,SGEr,SG in rostral entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12977,58,ADHBA_Terminology_2016_All,DHBA:13212
SG in medial (posterior) entorhinal cortex,SGecm,SG in medial (posterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13211,59,ADHBA_Terminology_2016_All,DHBA:12975
SG in caudal entorhinal cortex,SGEc,SG in caudal entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12978,60,ADHBA_Terminology_2016_All,DHBA:13211
SG in presubicular cortex,SGprs,SG in presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13210,61,ADHBA_Terminology_2016_All,DHBA:12974
SG in rostral presubicular cortex,SGprsr,SG in rostral presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13274,62,ADHBA_Terminology_2016_All,DHBA:13210
SG in caudal presubicular cortex,SGprsc,SG in caudal presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13275,63,ADHBA_Terminology_2016_All,DHBA:13210
SG in retrosplenial cortex,SGrs,SG in retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12980,64,ADHBA_Terminology_2016_All,DHBA:12974
SG in agranular insular cortex,SGIag,SG in agranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13276,65,ADHBA_Terminology_2016_All,DHBA:12974
SG in allocortex,alSG,SG in allocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13207,66,ADHBA_Terminology_2016_All,DHBA:11580
SG in hippocampal proper,SGhip,SG in hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13208,67,ADHBA_Terminology_2016_All,DHBA:13207
SG in subicular cortex,SGsub,SG in subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13209,68,ADHBA_Terminology_2016_All,DHBA:13207
SG in piriform cortex,SGpir,SG in piriform cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13277,69,ADHBA_Terminology_2016_All,DHBA:13207
SG in agranular insular cortex,SGiag,SG in agranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:146034614,70,ADHBA_Terminology_2016_All,DHBA:13207
marginal zone,MZ,marginal zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10508,71,ADHBA_Terminology_2016_All,DHBA:10506
MZ in frontal neocortex,fMZ,MZ in frontal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10509,72,ADHBA_Terminology_2016_All,DHBA:10508
MZ in frontal polar cortex,fMZfp,MZ in frontal polar cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11612,73,ADHBA_Terminology_2016_All,DHBA:10509
MZ in dorsomedial frontal cortex,fMZdm,MZ in dorsomedial frontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11607,74,ADHBA_Terminology_2016_All,DHBA:10509
MZ in dorsolateral prefrontal cortex,fMZdl,MZ in dorsolateral prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11610,75,ADHBA_Terminology_2016_All,DHBA:10509
MZ in ventrolateral prefrontal cortex,fMZvl,MZ in ventrolateral prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11611,76,ADHBA_Terminology_2016_All,DHBA:10509
MZ in orbital frontal cortex,fMZor,MZ in orbital frontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11608,77,ADHBA_Terminology_2016_All,DHBA:10509
MZ in posteror frontal cortex (motor cortex),fMZm1,MZ in posteror frontal cortex (motor cortex),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11609,78,ADHBA_Terminology_2016_All,DHBA:10509
MZ in parietal neocortex,pMZ,MZ in parietal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10511,79,ADHBA_Terminology_2016_All,DHBA:10508
MZ in primary somatosensory cortex,pMZs1,MZ in primary somatosensory cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11617,80,ADHBA_Terminology_2016_All,DHBA:10511
MZ in dorsomedial parietal cortex,pMZdm,MZ in dorsomedial parietal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11620,81,ADHBA_Terminology_2016_All,DHBA:10511
MZ in posterodorsal (superior) parietal cortex,pMZpd,MZ in posterodorsal (superior) parietal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11618,82,ADHBA_Terminology_2016_All,DHBA:10511
MZ in posteroventral (inferior) parietal cortex,pMZpv,MZ in posteroventral (inferior) parietal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11619,83,ADHBA_Terminology_2016_All,DHBA:10511
MZ in temporal neocortex,tMZ,MZ in temporal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10512,84,ADHBA_Terminology_2016_All,DHBA:10508
MZ in dorsolateral temporal cortex,tMZdl,MZ in dorsolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:15500,85,ADHBA_Terminology_2016_All,DHBA:10512
MZ in primary auditory cortex,tMZa1,MZ in primary auditory cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11621,86,ADHBA_Terminology_2016_All,DHBA:15500
MZ in superolateral temporal cortex,tMZsl,MZ in superolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11622,87,ADHBA_Terminology_2016_All,DHBA:15500
MZ in polysensory temporal cortex,tMZps,MZ in polysensory temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13082,88,ADHBA_Terminology_2016_All,DHBA:15500
MZ in parainsular temporal cortex,tMZpi,MZ in parainsular temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13086,89,ADHBA_Terminology_2016_All,DHBA:15500
MZ in ventrolateral temporal cortex,tMZvl,MZ in ventrolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:15501,90,ADHBA_Terminology_2016_All,DHBA:10512
MZ in midlateral temporal cortex,tMZml,MZ in midlateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13083,91,ADHBA_Terminology_2016_All,DHBA:15501
MZ in inferolateral temporal cortex,tMZil,MZ in inferolateral temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11623,92,ADHBA_Terminology_2016_All,DHBA:15501
MZ in midinferior temporal cortex,tMZmi,MZ in midinferior temporal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11624,93,ADHBA_Terminology_2016_All,DHBA:15501
MZ in rostral midinferior temporal cortex (area 36),tMZ36,MZ in rostral midinferior temporal cortex (area 36),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13084,94,ADHBA_Terminology_2016_All,DHBA:11624
MZ in caudal midinferior temporal cortex (area TF),tMZtf,MZ in caudal midinferior temporal cortex (area TF),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13085,95,ADHBA_Terminology_2016_All,DHBA:11624
MZ in posterior parahippocampal cortex,tMZph,MZ in posterior parahippocampal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11625,96,ADHBA_Terminology_2016_All,DHBA:10512
MZ in medial temporal-occipital cortex,tMZmt,MZ in medial temporal-occipital cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11626,97,ADHBA_Terminology_2016_All,DHBA:10512
MZ in lateral temporal-occipital cortex,tMZlt,MZ in lateral temporal-occipital cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11627,98,ADHBA_Terminology_2016_All,DHBA:10512
MZ in temporal polar cortex,tMZtp,MZ in temporal polar cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11628,99,ADHBA_Terminology_2016_All,DHBA:10512
MZ in occipital neocortex,oMZ,MZ in occipital neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10510,100,ADHBA_Terminology_2016_All,DHBA:10508
MZ in area prostriata,oMZpro,MZ in area prostriata,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13081,101,ADHBA_Terminology_2016_All,DHBA:10510
MZ in primary visual cortex,oMZv1,MZ in primary visual cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11613,102,ADHBA_Terminology_2016_All,DHBA:10510
MZ in extrastriate cortex,oMZexs,MZ in extrastriate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13080,103,ADHBA_Terminology_2016_All,DHBA:10510
MZ in dorsomedial extrastriate cortex (V2),oMZdm,MZ in dorsomedial extrastriate cortex (V2),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11614,104,ADHBA_Terminology_2016_All,DHBA:13080
MZ in ventromedial extrastriate cortex (VP),oMZvm,MZ in ventromedial extrastriate cortex (VP),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11615,105,ADHBA_Terminology_2016_All,DHBA:13080
MZ in midlateral extrastriate cortex (area 19),oMZml,MZ in midlateral extrastriate cortex (area 19),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11616,106,ADHBA_Terminology_2016_All,DHBA:13080
MZ in insular neocortex,iMZ,MZ in insular neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11634,107,ADHBA_Terminology_2016_All,DHBA:10508
MZ in dysgranular insular cortex,iMZdg,MZ in dysgranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11635,108,ADHBA_Terminology_2016_All,DHBA:11634
MZ in granular insular cortex,iMZgr,MZ in granular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11636,109,ADHBA_Terminology_2016_All,DHBA:11634
MZ in cingulate neocortex,cMZ,MZ in cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11629,110,ADHBA_Terminology_2016_All,DHBA:10508
MZ in rostral cingulate cortex,cMZr,MZ in rostral cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11630,111,ADHBA_Terminology_2016_All,DHBA:11629
MZ in midcingulate cortex,cMZmi,MZ in midcingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11631,112,ADHBA_Terminology_2016_All,DHBA:11629
MZ in caudal cingulate cortex,cMZc,MZ in caudal cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11632,113,ADHBA_Terminology_2016_All,DHBA:11629
MZ in subgenual (subcallosal) cingulate cortex,cMZsg,MZ in subgenual (subcallosal) cingulate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11633,114,ADHBA_Terminology_2016_All,DHBA:11629
MZ in periallocortex,peMZ,MZ in periallocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10514,115,ADHBA_Terminology_2016_All,DHBA:10508
MZ in perirhinal cortex,MZpc,MZ in perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11645,116,ADHBA_Terminology_2016_All,DHBA:10514
MZ in rostral perirhinal cortex,MZpcr,MZ in rostral perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11646,117,ADHBA_Terminology_2016_All,DHBA:11645
MZ in caudal perirhinal cortex,MZpcc,MZ in caudal perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11647,118,ADHBA_Terminology_2016_All,DHBA:11645
MZ in parasubicular cortex,MZpas,MZ in parasubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13278,119,ADHBA_Terminology_2016_All,DHBA:10514
MZ in entorhinal cortex,MZEC,MZ in entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11641,120,ADHBA_Terminology_2016_All,DHBA:10514
MZ in lateral (anterior) entorhinal cortex,MZlec,MZ in lateral (anterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13094,121,ADHBA_Terminology_2016_All,DHBA:11641
MZ in olfactory entorhinal cortex,MZeo,MZ in olfactory entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11642,122,ADHBA_Terminology_2016_All,DHBA:13094
MZ in rostral entorhinal cortex,Mzer,MZ in rostral entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11643,123,ADHBA_Terminology_2016_All,DHBA:13094
MZ in medial (posterior) entorhinal cortex,MZmec,MZ in medial (posterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13093,124,ADHBA_Terminology_2016_All,DHBA:11641
MZ in caudal entorhinal cortex,MZec,MZ in caudal entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11644,125,ADHBA_Terminology_2016_All,DHBA:13093
MZ in presubicular cortex,MZprs,MZ in presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11640,126,ADHBA_Terminology_2016_All,DHBA:10514
MZ in rostral presubicular cortex,MZprsr,MZ in rostral presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13091,127,ADHBA_Terminology_2016_All,DHBA:11640
MZ in caudal presubicular cortex (postsubiculum),MZprsc,MZ in caudal presubicular cortex (postsubiculum),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13092,128,ADHBA_Terminology_2016_All,DHBA:11640
MZ in retrosplenial cortex,MZrs,MZ in retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11648,129,ADHBA_Terminology_2016_All,DHBA:10514
MZ in agranular insular cortex,MZIag,MZ in agranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13279,130,ADHBA_Terminology_2016_All,DHBA:10514
MZ in allocortex,alMZ,MZ in allocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10513,131,ADHBA_Terminology_2016_All,DHBA:10508
MZ in hippocampal proper,MZhip,MZ in hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11637,132,ADHBA_Terminology_2016_All,DHBA:10513
MZ in rostral hippocampal proper,MZhipr,MZ in rostral hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13087,133,ADHBA_Terminology_2016_All,DHBA:11637
MZ in caudal hippocampal proper,MZhipc,MZ in caudal hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13088,134,ADHBA_Terminology_2016_All,DHBA:11637
MZ in subicular cortex,MZsub,MZ in subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11638,135,ADHBA_Terminology_2016_All,DHBA:10513
MZ in rostral subicular cortex,MZsubr,MZ in rostral subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13089,136,ADHBA_Terminology_2016_All,DHBA:11638
MZ in caudal subicular cortex,MZsubc,MZ in caudal subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13090,137,ADHBA_Terminology_2016_All,DHBA:11638
MZ in piriform cortex,MZpir,MZ in piriform cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11639,138,ADHBA_Terminology_2016_All,DHBA:10513
MZ in agranular insular cortex,MZiag,MZ in agranular insular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:146034618,139,ADHBA_Terminology_2016_All,DHBA:10513
cortical plate,CP,cortical plate,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10515,140,ADHBA_Terminology_2016_All,DHBA:10506
